(3, 4, 5)
(5, 12, 13)
(7, 24, 25)
(8, 15, 17)
(9, 40, 41)
(11, 60, 61)
(12, 35, 37)
(13, 84, 85)
(15, 112, 113)
(16, 63, 65)
(17, 144, 145)
(19, 180, 181)
(20, 21, 29)
(20, 99, 101)
(21, 220, 221)
(23, 264, 265)
(24, 143, 145)
(25, 312, 313)
(27, 364, 365)
(28, 45, 53)
(28, 195, 197)
(29, 420, 421)
(31, 480, 481)
(32, 255, 257)
(33, 56, 65)
(33, 544, 545)
(35, 612, 613)
(36, 77, 85)
(36, 323, 325)
(37, 684, 685)
(39, 80, 89)
(39, 760, 761)
(40, 399, 401)
(41, 840, 841)
(43, 924, 925)
(44, 117, 125)
(44, 483, 485)
(45, 1012, 1013)
(47, 1104, 1105)
(48, 55, 73)
(48, 575, 577)
(49, 1200, 1201)
(51, 140, 149)
(51, 1300, 1301)
(52, 165, 173)
(52, 675, 677)
(53, 1404, 1405)
(55, 1512, 1513)
(56, 783, 785)
(57, 176, 185)
(57, 1624, 1625)
(59, 1740, 1741)
(60, 91, 109)
(60, 221, 229)
(60, 899, 901)
(61, 1860, 1861)
(63, 1984, 1985)
(64, 1023, 1025)
(65, 72, 97)
(65, 2112, 2113)
(67, 2244, 2245)
(68, 285, 293)
(68, 1155, 1157)
(69, 260, 269)
(69, 2380, 2381)
(71, 2520, 2521)
(72, 1295, 1297)
(73, 2664, 2665)
(75, 308, 317)
(75, 2812, 2813)
(76, 357, 365)
(76, 1443, 1445)
(77, 2964, 2965)
(79, 3120, 3121)
(80, 1599, 1601)
(81, 3280, 3281)
(83, 3444, 3445)
(84, 187, 205)
(84, 437, 445)
(84, 1763, 1765)
(85, 132, 157)
(85, 3612, 3613)
(87, 416, 425)
(87, 3784, 3785)
(88, 105, 137)
(88, 1935, 1937)
(89, 3960, 3961)
(91, 4140, 4141)
(92, 525, 533)
(92, 2115, 2117)
(93, 476, 485)
(93, 4324, 4325)
(95, 168, 193)
(95, 4512, 4513)
(96, 247, 265)
(96, 2303, 2305)
(97, 4704, 4705)
(99, 4900, 4901)
(100, 621, 629)
(100, 2499, 2501)
(104, 153, 185)
(104, 2703, 2705)
(105, 208, 233)
(105, 608, 617)
(108, 725, 733)
(108, 2915, 2917)
(111, 680, 689)
(112, 3135, 3137)
(115, 252, 277)
(116, 837, 845)
(116, 3363, 3365)
(119, 120, 169)
(120, 209, 241)
(120, 391, 409)
(120, 3599, 3601)
(123, 836, 845)
(124, 957, 965)
(124, 3843, 3845)
(128, 4095, 4097)
(129, 920, 929)
(132, 475, 493)
(132, 1085, 1093)
(132, 4355, 4357)
(133, 156, 205)
(135, 352, 377)
(136, 273, 305)
(136, 4623, 4625)
(140, 171, 221)
(140, 1221, 1229)
(140, 4899, 4901)
(141, 1100, 1109)
(145, 408, 433)
(147, 1196, 1205)
(148, 1365, 1373)
(152, 345, 377)
(155, 468, 493)
(156, 667, 685)
(156, 1517, 1525)
(159, 1400, 1409)
(160, 231, 281)
(161, 240, 289)
(164, 1677, 1685)
(165, 532, 557)
(165, 1508, 1517)
(168, 425, 457)
(168, 775, 793)
(172, 1845, 1853)
(175, 288, 337)
(177, 1736, 1745)
(180, 299, 349)
(180, 2021, 2029)
(183, 1856, 1865)
(184, 513, 545)
(185, 672, 697)
(188, 2205, 2213)
(189, 340, 389)
(192, 1015, 1033)
(195, 748, 773)
(195, 2108, 2117)
(196, 2397, 2405)
(200, 609, 641)
(201, 2240, 2249)
(203, 396, 445)
(204, 253, 325)
(204, 1147, 1165)
(204, 2597, 2605)
(205, 828, 853)
(207, 224, 305)
(212, 2805, 2813)
(213, 2516, 2525)
(215, 912, 937)
(216, 713, 745)
(217, 456, 505)
(219, 2660, 2669)
(220, 459, 509)
(220, 3021, 3029)
(225, 272, 353)
(228, 325, 397)
(228, 1435, 1453)
(228, 3245, 3253)
(231, 520, 569)
(231, 2960, 2969)
(232, 825, 857)
(235, 1092, 1117)
(236, 3477, 3485)
(237, 3116, 3125)
(240, 551, 601)
(240, 1591, 1609)
(244, 3717, 3725)
(245, 1188, 1213)
(248, 945, 977)
(249, 3440, 3449)
(252, 275, 373)
(252, 3965, 3973)
(255, 1288, 1313)
(255, 3608, 3617)
(259, 660, 709)
(260, 651, 701)
(260, 4221, 4229)
(261, 380, 461)
(264, 1073, 1105)
(264, 1927, 1945)
(265, 1392, 1417)
(267, 3956, 3965)
(268, 4485, 4493)
(273, 736, 785)
(273, 4136, 4145)
(276, 493, 565)
(276, 2107, 2125)
(276, 4757, 4765)
(279, 440, 521)
(280, 351, 449)
(280, 759, 809)
(280, 1209, 1241)
(285, 1612, 1637)
(285, 4508, 4517)
(287, 816, 865)
(291, 4700, 4709)
(295, 1728, 1753)
(296, 1353, 1385)
(297, 304, 425)
(300, 589, 661)
(300, 2491, 2509)
(301, 900, 949)
(305, 1848, 1873)
(308, 435, 533)
(312, 1505, 1537)
(312, 2695, 2713)
(315, 572, 653)
(315, 988, 1037)
(315, 1972, 1997)
(319, 360, 481)
(320, 999, 1049)
(328, 1665, 1697)
(329, 1080, 1129)
(333, 644, 725)
(335, 2232, 2257)
(336, 377, 505)
(336, 527, 625)
(336, 3127, 3145)
(340, 1131, 1181)
(341, 420, 541)
(344, 1833, 1865)
(345, 2368, 2393)
(348, 805, 877)
(348, 3355, 3373)
(355, 2508, 2533)
(357, 1276, 1325)
(360, 1271, 1321)
(360, 2009, 2041)
(364, 627, 725)
(365, 2652, 2677)
(368, 465, 593)
(369, 800, 881)
(371, 1380, 1429)
(372, 925, 997)
(372, 3835, 3853)
(376, 2193, 2225)
(380, 1419, 1469)
(384, 4087, 4105)
(385, 552, 673)
(385, 1488, 1537)
(385, 2952, 2977)
(387, 884, 965)
(392, 2385, 2417)
(395, 3108, 3133)
(396, 403, 565)
(399, 1600, 1649)
(400, 561, 689)
(405, 3268, 3293)
(407, 624, 745)
(408, 2585, 2617)
(408, 4615, 4633)
(413, 1716, 1765)
(415, 3432, 3457)
(420, 851, 949)
(420, 1189, 1261)
(420, 1739, 1789)
(420, 4891, 4909)
(423, 1064, 1145)
(424, 2793, 2825)
(427, 1836, 1885)
(429, 460, 629)
(429, 700, 821)
(432, 665, 793)
(435, 3772, 3797)
(440, 1911, 1961)
(440, 3009, 3041)
(441, 1160, 1241)
(444, 1333, 1405)
(445, 3948, 3973)
(448, 975, 1073)
(451, 780, 901)
(455, 528, 697)
(455, 2088, 2137)
(455, 4128, 4153)
(456, 3233, 3265)
(460, 2091, 2141)
(464, 777, 905)
(465, 4312, 4337)
(468, 595, 757)
(469, 2220, 2269)
(472, 3465, 3497)
(473, 864, 985)
(476, 1107, 1205)
(477, 1364, 1445)
(480, 2279, 2329)
(481, 600, 769)
